type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Zip Code,23223,Black,22-Feb,29,181.25,4/8/2023
Zip Code,23223,Black,22-Mar,49,163.25,4/8/2023
Zip Code,23223,Black,22-Apr,30,180.25,4/8/2023
Zip Code,23223,Black,22-May,89,187.25,4/8/2023
Zip Code,23223,Black,22-Jun,96,230.5,4/8/2023
Zip Code,23223,Black,22-Jul,119,227,4/8/2023
Zip Code,23223,Black,22-Aug,176,226.75,4/8/2023
Zip Code,23223,Black,22-Sep,165,231,4/8/2023
Zip Code,23223,Black,22-Oct,168,231.25,4/8/2023
Zip Code,23223,Black,22-Nov,113,168.5,4/8/2023
Zip Code,23223,Black,22-Dec,147,196.25,4/8/2023
Zip Code,23223,Black,23-Jan,154,225,4/8/2023
Zip Code,23223,Black,23-Feb,152,181.25,4/8/2023
Zip Code,23223,Black,23-Mar,180,163.25,4/8/2023
Zip Code,23223,Black,23-Apr,7,35.25,4/8/2023
Zip Code,23224,Black,20-Jan,353,444,4/8/2023
Zip Code,23224,Black,20-Feb,284,346.75,4/8/2023
Zip Code,23224,Black,20-Mar,177,293.25,4/8/2023
Zip Code,23224,Black,20-Apr,26,307,4/8/2023
Zip Code,23224,Black,20-May,75,319.25,4/8/2023
Zip Code,23224,Black,20-Jun,47,365.25,4/8/2023
Zip Code,23224,Black,20-Jul,90,405.25,4/8/2023
Zip Code,23224,Black,20-Aug,150,368,4/8/2023
Zip Code,23224,Black,20-Sep,261,412.75,4/8/2023
Zip Code,23224,Black,20-Oct,221,374,4/8/2023
Zip Code,23224,Black,20-Nov,62,347.25,4/8/2023
Zip Code,23224,Black,20-Dec,27,307,4/8/2023
Zip Code,23224,Black,21-Jan,30,444,4/8/2023
Zip Code,23224,Black,21-Feb,21,346.75,4/8/2023
Zip Code,23224,Black,21-Mar,90,293.25,4/8/2023
Zip Code,23224,Black,21-Apr,32,307,4/8/2023
Zip Code,23224,Black,21-May,63,319.25,4/8/2023
Zip Code,23224,Black,21-Jun,75,365.25,4/8/2023
Zip Code,23224,Black,21-Jul,86,405.25,4/8/2023
Zip Code,23224,Black,21-Aug,127,368,4/8/2023
Zip Code,23224,Black,21-Sep,98,412.75,4/8/2023
Zip Code,23224,Black,21-Oct,72,374,4/8/2023
Zip Code,23224,Black,21-Nov,55,347.25,4/8/2023
Zip Code,23224,Black,21-Dec,63,307,4/8/2023
Zip Code,23224,Black,22-Jan,57,444,4/8/2023
Zip Code,23224,Black,22-Feb,83,346.75,4/8/2023
Zip Code,23224,Black,22-Mar,173,293.25,4/8/2023
Zip Code,23224,Black,22-Apr,118,307,4/8/2023
Zip Code,23224,Black,22-May,130,319.25,4/8/2023
Zip Code,23224,Black,22-Jun,145,365.25,4/8/2023
Zip Code,23224,Black,22-Jul,351,405.25,4/8/2023
Zip Code,23224,Black,22-Aug,407,368,4/8/2023
Zip Code,23224,Black,22-Sep,249,412.75,4/8/2023
Zip Code,23224,Black,22-Oct,348,374,4/8/2023
Zip Code,23224,Black,22-Nov,312,347.25,4/8/2023
Zip Code,23224,Black,22-Dec,307,307,4/8/2023
Zip Code,23224,Black,23-Jan,290,444,4/8/2023
Zip Code,23224,Black,23-Feb,445,346.75,4/8/2023
Zip Code,23224,Black,23-Mar,281,293.25,4/8/2023
Zip Code,23224,Black,23-Apr,57,23,4/8/2023
Zip Code,23225,Other,20-Jan,302,410.5,4/8/2023
Zip Code,23225,Other,20-Feb,349,359.75,4/8/2023
Zip Code,23225,Other,20-Mar,222,280.5,4/8/2023
Zip Code,23225,Other,20-Apr,63,269,4/8/2023
Zip Code,23225,Other,20-May,19,317.5,4/8/2023
Zip Code,23225,Other,20-Jun,8,401.25,4/8/2023
Zip Code,23225,Other,20-Jul,45,392.5,4/8/2023
Zip Code,23225,Other,20-Aug,146,386.5,4/8/2023
Zip Code,23225,Other,20-Sep,282,386.25,4/8/2023
Zip Code,23225,Other,20-Oct,428,357.5,4/8/2023
Zip Code,23225,Other,20-Nov,72,376.25,4/8/2023
Zip Code,23225,Other,20-Dec,13,407.75,4/8/2023
Zip Code,23225,Other,21-Jan,95,410.5,4/8/2023
Zip Code,23225,Other,21-Feb,66,357.75,4/8/2023
Zip Code,23225,Other,21-Mar,118,280.5,4/8/2023
Zip Code,23225,Other,21-Apr,35,269,4/8/2023
Zip Code,23225,Other,21-May,124,317.5,4/8/2023
Zip Code,23225,Other,21-Jun,42,401.25,4/8/2023
Zip Code,23225,Other,21-Jul,114,392.5,4/8/2023
Zip Code,23225,Other,21-Aug,221,386.5,4/8/2023
Zip Code,23225,Other,21-Sep,117,386.25,4/8/2023
Zip Code,23225,Other,21-Oct,163,357.5,4/8/2023
Zip Code,23225,Other,21-Nov,122,376.25,4/8/2023
Zip Code,23225,Other,21-Dec,72,407.75,4/8/2023
Zip Code,23225,Other,22-Jan,57,410.5,4/8/2023
